id,name,website,http_requests,flash_pieces,mobile_site,load_time,thumb,rank,actual_last_round
,,,,,,,,,
,,,http://yslow.org/,http://yslow.org/,manual,tools.pingdom.com,tools.pingdom.com,lowest wins,
,,,,,"1 = yes, 2 = optional, 3 = no",,,,
syracuse,Syracuse,http://suathletics.syr.edu/,183,2,1,2.2,http://content.sportslogos.net/logos/34/859/thumbs/lhf2fxwjfmysj71nzmqw.gif,76,6
montana,Montana,http://www.gogriz.com/,92,8,3,0.84,http://content.sportslogos.net/logos/32/759/thumbs/8w2u1hfnzaaqrqh0wy6hmgeh9.gif,44,2
butler,Butler,http://www.butlersports.com/,80,1,1,2.25,http://content.sportslogos.net/logos/30/625/thumbs/6824.gif,95,3
bucknell,Bucknell,http://www.bucknellbison.com/,109,4,3,1.05,http://content.sportslogos.net/logos/30/624/thumbs/2441.gif,59,2
marquette,Marquette,http://www.gomarquette.com/,104,10,2,1.29,http://content.sportslogos.net/logos/32/741/thumbs/lk47sf36h6g3y141mktt.gif,20,5
davidson,Davidson,http://www.davidsonwildcats.com/,75,0,1,0.79,http://content.sportslogos.net/logos/31/654/thumbs/6866.gif,94,2
illinois,Illinois,http://www.fightingillini.com/,127,1,3,1.82,http://content.sportslogos.net/logos/32/706/thumbs/due3r3il1mezf9z6hc3uvwaiv.gif,79,3
colorado,Colorado,http://www.cubuffs.com/,101,1,1,1.9,http://content.sportslogos.net/logos/30/647/thumbs/7489.gif,94,2
miami,Miami (FL),http://www.hurricanesports.com/,100,3,1,1.13,http://content.sportslogos.net/logos/32/748/thumbs/2848.gif,90,4
pacific,Pacific,http://www.pacifictigers.com/,68,1,1,4.33,http://content.sportslogos.net/logos/33/799/thumbs/79969051999.gif,91,2
,,,,,,,,,
,West,,,,,,,,
gonzaga,Gonzaga,http://www.gozags.com/,88,1,1,1.25,http://content.sportslogos.net/logos/31/691/thumbs/pxl1fzxrw8lbt04ci2mo4kk0p.gif,97,3
southern,SouthernU,http://gojagsports.com/,142,1,1,2.1,http://content.sportslogos.net/logos/34/845/thumbs/2629.gif,91,2
pittsburgh,Pittsburgh,http://www.pittsburghpanthers.com/,112,6,3,0.97,http://content.sportslogos.net/logos/33/803/thumbs/wrvfcu5gwma4v22cyof6.gif,41,2
wichitast,Wichita St.,http://www.goshockers.com/,142,1,1,3.7,http://content.sportslogos.net/logos/35/911/thumbs/91145502010.gif,84,6
wisconsin,Wisconsin,http://www.uwbadgers.com/,95,2,3,1.81,http://content.sportslogos.net/logos/35/914/thumbs/ydl01hfj8hw4p1mbg1zd.gif,69,2
mississippi,Ole Miss,http://www.olemisssports.com/,115,3,3,1.51,http://content.sportslogos.net/logos/32/754/thumbs/2564.gif,53,3
kansasst,Kansas St.,http://www.kstatesports.com/,141,5,3,1.26,http://content.sportslogos.net/logos/32/719/thumbs/2508.gif,20,2
lasalle,La Salle,http://www.goexplorers.com/,159,1,3,1.45,http://content.sportslogos.net/logos/32/724/thumbs/gt5hdsffx86dsn0rjc0upzjtg.gif,79,4
arizona,Arizona,http://www.arizonawildcats.com/,119,1,3,1.31,http://content.sportslogos.net/logos/30/603/thumbs/2416.gif,86,4
belmont,Belmont,http://www.belmontbruins.com/,76,1,1,4.7,http://content.sportslogos.net/logos/30/614/thumbs/4681.gif,89,2
newmexico,New Mexico,http://www.golobos.com/,112,10,2,1.24,http://content.sportslogos.net/logos/33/769/thumbs/ghyb25tvzhogmpe3beytq4wtg.gif,17,2
harvard,Harvard,http://www.gocrimson.com/,79,1,1,4.93,http://content.sportslogos.net/logos/31/695/thumbs/afpnmfyxeigiunegxzxrdukt7.gif,88,3
notredame,Notre Dame,http://www.und.com/,124,3,2,1.15,http://content.sportslogos.net/logos/33/789/thumbs/h4taj4rqfe7eigc0f2llj59xx.gif,74,2
iowast,Iowa St,http://www.cyclones.com/,130,2,1,3.58,http://content.sportslogos.net/logos/32/713/thumbs/7w93rhfepewa14i6t9j3deuh5.gif,72,3
ohiost,Ohio St,http://www.ohiostatebuckeyes.com/,126,8,3,1.25,http://content.sportslogos.net/logos/33/791/thumbs/2ljfrxdhjejmccpdr5ccycxi2.gif,-13,5
iona,Iona,http://www.icgaels.com/,156,1,1,1.36,http://content.sportslogos.net/logos/32/711/thumbs/71wlevv9udu51qfi4rey7cvml.gif,94,2
